# Recommended confusable mapping for IDN
05AD,0596 
05AE,0598 
05A8,0599 
05A4,059A 
1AB4,06DB 
20DB,06DB 
0619,0313 
08F3,0313 
0343,0313 
0315,0313 
064F,0313 
065D,0314 
059C,0301 
059D,0301 
0618,0301 
0747,0301 
0341,0301 
0954,0301 
064E,0301 
0340,0300 
0953,0300 
030C,0306 
A67C,0306 
0658,0306 
065A,0306 
036E,0306 
06E8,0306 0307 
0310,0306 0307 
0901,0306 0307 
0981,0306 0307 
0A81,0306 0307 
0B01,0306 0307 
0C00,0306 0307 
0C81,0306 0307 
0D01,0306 0307 
114BF,0306 0307 
1CD0,0302 
0311,0302 
065B,0302 
07EE,0302 
05AF,030A 
06DF,030A 
17D3,030A 
309A,030A 
0652,030A 
0B82,030A 
1036,030A 
17C6,030A 
0E4D,030A 
0ECD,030A 
0366,030A 
08EB,0308 
07F3,0308 
064B,030B 
08F0,030B 
0342,0303 
0653,0303 
05C4,0307 
06EC,0307 
0740,0307 
08EA,0307 
0741,0307 
0358,0307 
05B9,0307 
05BA,0307 
05C2,0307 
05C1,0307 
07ED,0307 
0902,0307 
0A02,0307 
0A82,0307 
0BCD,0307 
0337,0338 
1AB7,0328 
0322,0328 
0345,0328 
1CD2,0304 
0305,0304 
0659,0304 
07EB,0304 
1CDA,030E 
0657,0312 
0357,0350 
08FF,0350 
08F8,0350 
0900,0352 
1CED,0316 
1CDC,0329 
0656,0329 
1CD5,032B 
0347,0333 
08F9,0354 
08FA,0355 
309B,FF9E 
309C,FF9F 
0336,0335 
302C,0309 
05C5,0323 
08ED,0323 
1CDD,0323 
05B4,0323 
065C,0323 
093C,0323 
09BC,0323 
0A3C,0323 
0ABC,0323 
0B3C,0323 
114C3,0323 
10A3A,0323 
08EE,0324 
1CDE,0324 
302D,0325 
0327,0326 
0321,0326 
0339,0326 
1CD9,032D 
1CD8,032E 
0952,0331 
0320,0331 
08F1,064C 
08E8,064C 
08E5,064C 
FC5E,FE72 0651 
08F2,064D 
FC5F,FE74 0651 
FCF2,FE77 0651 
FC60,FE76 0651 
FCF3,FE79 0651 
FC61,FE78 0651 
061A,0650 
0317,0650 
FCF4,FE7B 0651 
FC62,FE7A 0651 
FC63,FE7C 0670 
065F,0655 
030D,0670 
0742,073C 
0A03,0983 
0C03,0983 
0C83,0983 
0D03,0983 
0D83,0983 
1038,0983 
114C1,0983 
17CB,0E48 
0EC8,0E48 
0EC9,0E49 
0ECA,0E4A 
0ECB,0E4B 
2028,0020 
2029,0020 
1680,0020 
2000,0020 
2001,0020 
2002,0020 
2003,0020 
2004,0020 
2005,0020 
2006,0020 
2008,0020 
2009,0020 
200A,0020 
205F,0020 
00A0,0020 
2007,0020 
202F,0020 
07FA,005F 
FE4D,005F 
FE4E,005F 
FE4F,005F 
2010,002D 
2011,002D 
2012,002D 
2013,002D 
FE58,002D 
06D4,002D 
2043,002D 
02D7,002D 
2212,002D 
2796,002D 
2CBA,002D 
2A29,002D 0313 
2E1A,002D 0308 
FB29,002D 0307 
2238,002D 0307 
2A2A,002D 0323 
A4FE,002D 002E 
FF5E,301C 
060D,002C 
066B,002C 
201A,002C 
00B8,002C 
A4F9,002C 
2E32,060C 
066C,060C 
037E,003B 
2E35,061B 
0903,003A 
0A83,003A 
FF1A,003A 
0589,003A 
0703,003A 
0704,003A 
16EC,003A 
FE30,003A 
1803,003A 
1809,003A 
205A,003A 
05C3,003A 
02F8,003A 
A789,003A 
2236,003A 
02D0,003A 
A4FD,003A 
2A74,003A 003A 003D 
29F4,003A 2192 
FF01,0021 
01C3,0021 
2D51,0021 
203C,0021 0021 
2049,0021 003F 
0294,003F 
0241,003F 
097D,003F 
13AE,003F 
2048,003F 0021 
2047,003F 003F 
2E2E,061F 
1D16D,002E 
2024,002E 
0701,002E 
0702,002E 
A60E,002E 
10A50,002E 
0660,002E 
06F0,002E 
A4F8,002E 
A4FB,002E 002C 
2025,002E 002E 
A4FA,002E 002E 
2026,002E 002E 002E 
30FB,00B7 
FF65,00B7 
16EB,00B7 
0387,00B7 
2E31,00B7 
10101,00B7 
2022,00B7 
2027,00B7 
2219,00B7 
22C5,00B7 
1427,00B7 
A78F,00B7 
22EF,00B7 00B7 00B7 
2D48,00B7 00B7 00B7 
1444,00B7 003C 
22D7,00B7 003E 
1437,00B7 003E 
1440,00B7 003E 
152F,00B7 0034 
147A,00B7 0064 
1498,00B7 004A 
14B6,00B7 004C 
1476,00B7 0050 
1457,00B7 0055 
143A,00B7 0056 
143C,00B7 0245 
14AE,00B7 0393 
140E,00B7 0394 
1459,00B7 0548 
140C,00B7 1401 
1410,00B7 1404 
1412,00B7 1405 
1414,00B7 1406 
1417,00B7 140A 
1419,00B7 140B 
143E,00B7 1432 
1442,00B7 1434 
1446,00B7 1439 
145B,00B7 144F 
1454,00B7 1450 
145D,00B7 1450 
145F,00B7 1451 
1461,00B7 1455 
1463,00B7 1456 
1474,00B7 146B 
1478,00B7 146E 
147C,00B7 1470 
147E,00B7 1472 
1480,00B7 1473 
1492,00B7 1489 
1494,00B7 148B 
1496,00B7 148C 
149A,00B7 148E 
149C,00B7 1490 
149E,00B7 1491 
14AC,00B7 14A3 
14B0,00B7 14A6 
14B2,00B7 14A7 
14B4,00B7 14A8 
14B8,00B7 14AB 
14C9,00B7 14C0 
14CB,00B7 14C7 
14CD,00B7 14C8 
14DC,00B7 14D3 
14DE,00B7 14D5 
14E0,00B7 14D6 
14E2,00B7 14D7 
14E4,00B7 14D8 
14E6,00B7 14DA 
14E8,00B7 14DB 
14F6,00B7 14ED 
14F8,00B7 14EF 
14FA,00B7 14F0 
14FC,00B7 14F1 
14FE,00B7 14F2 
1500,00B7 14F4 
1502,00B7 14F5 
1517,00B7 1510 
1519,00B7 1511 
151B,00B7 1512 
151D,00B7 1513 
151F,00B7 1514 
1521,00B7 1515 
1523,00B7 1516 
1531,00B7 1528 
1533,00B7 1529 
1535,00B7 152A 
1537,00B7 152B 
1539,00B7 152D 
153B,00B7 152E 
154E,00B7 154C 
155B,00B7 155A 
1568,00B7 1567 
18B3,00B7 18B1 
18B6,00B7 18B4 
18B9,00B7 18B8 
18C2,00B7 18C0 
0965,0964 0964 
1C3C,1C3B 1C3B 
104B,104A 104A 
1AA9,1AA8 1AA8 
1AAB,1AAA 1AA8 
1B5F,1B5E 1B5E 
10A57,10A56 10A56 
1C7F,1C7E 1C7E 
055D,0027 
FF07,0027 
2018,0027 
2019,0027 
201B,0027 
2032,0027 
2035,0027 
055A,0027 
05F3,0027 
0060,0027 
1FEF,0027 
FF40,0027 
00B4,0027 
0384,0027 
1FFD,0027 
1FBD,0027 
1FBF,0027 
1FFE,0027 
02B9,0027 
0374,0027 
02C8,0027 
02CA,0027 
02CB,0027 
02F4,0027 
02BB,0027 
02BD,0027 
02BC,0027 
02BE,0027 
A78C,0027 
05D9,0027 
07F4,0027 
07F5,0027 
144A,0027 
16CC,0027 
1CD3,0027 0027 
0022,0027 0027 
FF02,0027 0027 
201C,0027 0027 
201D,0027 0027 
201F,0027 0027 
2033,0027 0027 
2036,0027 0027 
3003,0027 0027 
05F4,0027 0027 
02DD,0027 0027 
02BA,0027 0027 
02F6,0027 0027 
02EE,0027 0027 
05F2,0027 0027 
2034,0027 0027 0027 
2037,0027 0027 0027 
2057,0027 0027 0027 0027 
0181,0027 0042 
018A,0027 0044 
0149,0027 006E 
01A4,0027 0050 
01AC,0027 0054 
01B3,0027 0059 
FF3B,0028 
2768,0028 
2772,0028 
3014,0028 
FD3E,0028 
2E28,0028 0028 
3220,0028 30FC 0029 
2475,0028 0032 0029 
2487,0028 0032 004F 0029 
2476,0028 0033 0029 
2477,0028 0034 0029 
2478,0028 0035 0029 
2479,0028 0036 0029 
247A,0028 0037 0029 
247B,0028 0038 0029 
247C,0028 0039 0029 
249C,0028 0061 0029 
1F110,0028 0041 0029 
249D,0028 0062 0029 
1F111,0028 0042 0029 
249E,0028 0063 0029 
1F112,0028 0043 0029 
249F,0028 0064 0029 
1F113,0028 0044 0029 
24A0,0028 0065 0029 
1F114,0028 0045 0029 
24A1,0028 0066 0029 
1F115,0028 0046 0029 
24A2,0028 0067 0029 
1F116,0028 0047 0029 
24A3,0028 0068 0029 
1F117,0028 0048 0029 
24A4,0028 0069 0029 
24A5,0028 006A 0029 
1F119,0028 004A 0029 
24A6,0028 006B 0029 
1F11A,0028 004B 0029 
2474,0028 006C 0029 
1F118,0028 006C 0029 
24A7,0028 006C 0029 
1F11B,0028 004C 0029 
247F,0028 006C 0032 0029 
2480,0028 006C 0033 0029 
2481,0028 006C 0034 0029 
2482,0028 006C 0035 0029 
2483,0028 006C 0036 0029 
2484,0028 006C 0037 0029 
2485,0028 006C 0038 0029 
2486,0028 006C 0039 0029 
247E,0028 006C 006C 0029 
247D,0028 006C 004F 0029 
1F11C,0028 004D 0029 
24A9,0028 006E 0029 
1F11D,0028 004E 0029 
24AA,0028 006F 0029 
1F11E,0028 004F 0029 
24AB,0028 0070 0029 
1F11F,0028 0050 0029 
24AC,0028 0071 0029 
1F120,0028 0051 0029 
24AD,0028 0072 0029 
1F121,0028 0052 0029 
